planet_name,host_star_name,star_number_per_system,discovery_method,year_of_discovery,discovery_facility,orbital_period_day,orbit_semi_major_axis_au,planet_rad_earth_rad,planet_mass_earth_mass,orbital_eccentricity,planet_equil_temp_k,spectral_type,stellar_effective_temp_k,stellar_rad_solar_rad,stellar_mass_solar_mass,stellar_surf_grav,distance_parsec
11 Com b,11 Com,2.0,Radial Velocity,2007.0,Xinglong Station,324.62,1.226,,5505.06616195,0.2345,,G8 III,4808.0,16.38,2.4633333333333334,2.38,93.1846
11 UMi b,11 UMi,1.0,Radial Velocity,2009.0,Thueringer Landessternwarte Tautenburg,516.219985,1.5266666666666666,,3818.0947333333334,0.08,,K4 III,4276.5,26.935,2.0933333333333333,1.7650000000000001,125.32099999999998
14 And b,14 And,1.0,Radial Velocity,2008.0,Okayama Astrophysical Observatory,186.3,0.7616666666666667,,1224.5504335033334,0.0,,K0 III,4850.5,11.275,1.78,2.59,75.4392
14 Her b,14 Her,1.0,Radial Velocity,2002.0,W. M. Keck Observatory,1766.3784171428572,2.81475,,1642.38359194,0.362925,,K0 V,5296.985,0.9990845,0.9040000000000001,4.41800575,17.9323
16 Cyg B b,16 Cyg B,3.0,Radial Velocity,1996.0,Multiple Observatories,799.375,1.6628333333333334,,533.5145281766667,0.6760333333333334,,G2.5 V,5728.594,1.129135,1.0165992,4.3422932,21.1397
17 Sco b,17 Sco,1.0,Radial Velocity,2020.0,Lick Observatory,578.38,1.45,,1373.01871824,0.06,,K3 III,4157.0,25.92,1.22,1.7,124.953
18 Del b,18 Del,2.0,Radial Velocity,2008.0,Okayama Astrophysical Observatory,988.075,2.5386666666666664,,3109.015381083333,0.052000000000000005,,G6 III,4979.5,8.65,2.1,2.8440000000000003,76.222
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1.0,Imaging,2008.0,Gemini Observatory,,330.0,18.647,3135.75,,1750.0,K7 V,4043.25,1.33258,0.85,3.99592,139.135
24 Boo b,24 Boo,1.0,Radial Velocity,2018.0,Okayama Astrophysical Observatory,30.3403,0.192,,284.93389169,0.037000000000000005,,G3 IV,4854.5,11.415,1.02,2.3499999999999996,95.9863
24 Sex b,24 Sex,1.0,Radial Velocity,2010.0,Lick Observatory,452.8,1.333,,632.46,0.09,,,5098.0,4.9,1.54,3.5,72.0691
24 Sex c,24 Sex,1.0,Radial Velocity,2010.0,Lick Observatory,883.0,2.08,,273.32,0.29,,,5098.0,4.9,1.54,3.5,72.0691
2M0437 b,2MASS J04372171+2651014,1.0,Imaging,2021.0,Subaru Telescope,,118.0,,1271.313628,,1450.0,M V,3100.0,0.84,0.17,4.5,128.484
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2.0,Imaging,2013.0,Paranal Observatory,,84.0,,4131.79,,,M5.5/M6,,,0.19,,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1.0,Imaging,2013.0,W. M. Keck Observatory,,52.0,11.209,7786.5,,1600.0,M3.5 V,3419.5,0.36645,0.3765925,4.85804,33.8281
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1.0,Imaging,2015.0,Cerro Tololo Inter-American Observatory,,156.0,16.14096,4417.837,,,M6,3064.0,0.281,0.108,4.59,
2MASS J0249-0557 c,2MASS J0249-0557 A,2.0,Imaging,2018.0,Mauna Kea Observatory,,1950.0,,3686.8095212,,,M6 V,,,0.046,,66.0613
2MASS J03590986+2009361 b,2MASS J03590986+2009361,1.0,Imaging,2024.0,European Space Agency (ESA) Gaia Satellite,,572.0,,5720.911326,,2369.0,,,,,,117.435
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1.0,Imaging,2010.0,Hubble Space Telescope,,15.0,,2383.6,,,M8.5,,,0.019,,
2MASS J11011926-7732383 b,2MASS J11011926-7732383,1.0,Imaging,2024.0,European Space Agency (ESA) Gaia Satellite,,266.0,,8899.195396,,2677.0,,,,,,
2MASS J11550485-7919108 b,2MASS J11550485-7919108,1.0,Imaging,2024.0,European Space Agency (ESA) Gaia Satellite,,587.0,,6356.56814,,2506.0,,,,,,100.862
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1.0,Imaging,2004.0,Paranal Observatory,,50.5,,1430.075,,1200.0,M8,2825.0,0.21887,0.1060005,5.03186,64.308
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2.0,Eclipse Timing Variations,2015.0,Kepler,411.0,0.92,,597.51891851,0.33,,,29564.0,0.203,0.48,5.508,396.332
2MASS J21252752-8138278 b,2MASS J21252752-8138278,1.0,Imaging,2024.0,European Space Agency (ESA) Gaia Satellite,,7493.0,,3813.940884,,1616.0,,,,,,34.1154
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1.0,Imaging,2016.0,W. M. Keck Observatory,,230.0,,3972.875,,,K7 V,4045.0,,0.6,,69.5737
2MASS J22501512+2325342 b,2MASS J22501512+2325342,1.0,Imaging,2018.0,The 2 (Two) Micron All Sky Survey (2MASS),,518.0,,9534.85221,,1600.0,M3,,,,,57.2309
