planet_name,host_star_name,star_number_per_system,discovery_method,year_of_discovery,discovery_facility,spectral_type,orbital_period_day,orbit_semi_major_axis_au,planet_rad_earth_rad,planet_mass_earth_mass,planet_rad_jupiter_rad,planet_mass_jupiter_mass,orbital_eccentricity,planet_equil_temp_k,stellar_effective_temp_k,stellar_rad_solar_rad,stellar_mass_solar_mass,stellar_surf_grav,distance_parsec,stellar_mass_imputation_method,stellar_luminosity_solar_lum,planet_orbital_velocity
11 Com b,11 Com,2.0,Radial Velocity,2007.0,Xinglong Station,G8 III,324.62,1.226,61.63658057189193,5505.06616195,,17.32133333333333,0.2345,653.1371652238513,4808.0,13.76,2.09,2.38,93.1846,observed,90.77882429200622,1.3058788615447476
11 UMi b,11 UMi,1.0,Radial Velocity,2009.0,Thueringer Landessternwarte Tautenburg,K4 III,516.219985,1.5266666666666666,57.0574212386774,4684.8142,,14.74,0.08,728.3679219366965,4276.5,26.935,2.78,1.765,125.32099999999998,observed,217.70966783694138,1.3496627765760878
14 And b,14 And,1.0,Radial Velocity,2008.0,Okayama Astrophysical Observatory,K0 III,186.3,0.7616666666666667,30.026229664042432,1224.5504335033334,,3.853,0.0,756.7253196096369,4850.5,11.275,1.78,2.59,75.4392,observed,63.13482583523821,1.5289824844287172
14 Her b,14 Her,1.0,Radial Velocity,2002.0,W. M. Keck Observatory,K0 V,1766.3784171428572,2.81475,42.72617118626999,2559.47216157,,8.053,0.3629249999999999,127.96343687301615,5296.985,0.9990845,0.904,4.418005750000001,17.9323,observed,0.705032707406849,0.5668123252086852
16 Cyg B b,16 Cyg B,3.0,Radial Velocity,1996.0,Multiple Observatories,G2.5 V,799.375,1.6628333333333334,20.176910388854697,533.5145281766665,,1.6786666666666663,0.6760333333333334,191.413504108464,5728.594,1.129135,1.0165992,4.342293199999999,21.1397,observed,1.2318952031907586,0.7820337656333902
17 Sco b,17 Sco,1.0,Radial Velocity,2020.0,Lick Observatory,K3 III,578.38,1.45,31.71616013226107,1373.01871824,,4.32,0.06,712.6716420314522,4157.0,25.92,1.22,1.7,124.953,observed,180.0030825234718,0.9174256921198171
18 Del b,18 Del,2.0,Radial Velocity,2008.0,Okayama Astrophysical Observatory,G6 III,988.075,2.5386666666666664,46.89336749914425,3109.015381083333,,9.782333333333334,0.024,372.7064479137509,4979.5,8.65,2.1,2.8440000000000003,76.222,observed,41.272902518199366,0.9096656404644132
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1.0,Imaging,2008.0,Gemini Observatory,K7 V,348.37017335274015,330.0,18.647,3135.75,1.664,9.0,,1750.0,4043.25,1.33258,0.85,3.99592,139.135,observed,0.42579328943459915,0.05076068532310353
24 Boo b,24 Boo,1.0,Radial Velocity,2018.0,Okayama Astrophysical Observatory,G3 IV,30.3403,0.192,14.945784392043931,284.93389169,,0.8965000000000001,0.032,1517.776432934424,4854.5,11.415,1.02,2.35,95.9863,observed,64.92615785360877,2.305284103390886
24 Sex b,24 Sex,1.0,Radial Velocity,2010.0,Lick Observatory,KIV,452.8,1.333,21.888056823890313,632.46,,1.99,0.09,396.3316474627488,5098.0,4.9,1.54,3.5,72.0691,observed,14.550614492288496,1.075029222154519
24 Sex c,24 Sex,1.0,Radial Velocity,2010.0,Lick Observatory,KIV,883.0,2.08,14.651142385611704,273.32,,0.86,0.29,317.2796076249495,5098.0,4.9,1.54,3.5,72.0691,observed,14.550614492288496,0.8606046273975612
2M0437 b,2MASS J04372171+2651014,1.0,Imaging,2021.0,Subaru Telescope,M V,213.00952970541718,118.0,30.569502745660692,1271.313628,,4.0,,1450.0,3100.0,0.84,0.17,4.5,128.484,observed,0.05846489814754148,0.03796281783882115
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2.0,Imaging,2013.0,Paranal Observatory,M5.5/M6,146.11498318111754,84.0,53.72911464985078,4131.79,,13.0,,,,,0.19,,,observed,,0.04756769874753685
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1.0,Imaging,2013.0,W. M. Keck Observatory,M3.5 V,72.00778546128129,52.0,11.209,7786.5,1.0,24.5,,1600.0,3419.5,0.36645,0.3765925,4.85804,33.8281,observed,0.016472887569599047,0.085115596183877
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1.0,Imaging,2015.0,Cerro Tololo Inter-American Observatory,M6,327.5794729726669,156.0,16.14096,4417.837,1.44,13.9,,5.272973367791133,3064.0,0.281,0.108,4.59,,observed,0.006243922926846055,0.026316283877483478
2MASS J0249-0557 c,2MASS J0249-0557 A,2.0,Imaging,2018.0,Mauna Kea Observatory,M6 V,5442.294019496567,1950.0,50.87816455171724,3686.8095212,,11.6,,,,,0.046,,66.0613,observed,,0.004857766036445122
2MASS J03590986+2009361 b,2MASS J03590986+2009361,1.0,Imaging,2024.0,European Space Agency (ESA) Gaia Satellite,,,572.0,62.7812917179687,5720.911326,,18.0,,2369.0,,,,,117.435,missing,,
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1.0,Imaging,2010.0,Hubble Space Telescope,M8.5,56.21342651764731,15.0,41.29534865562755,2383.6,,7.5,,,,,0.019,,,observed,,0.03559640627811176
2MASS J11011926-7732383 b,2MASS J11011926-7732383,1.0,Imaging,2024.0,European Space Agency (ESA) Gaia Satellite,,,266.0,77.56066134866542,8899.195396,,28.0,,2677.0,,,,,,missing,,
2MASS J11550485-7919108 b,2MASS J11550485-7919108,1.0,Imaging,2024.0,European Space Agency (ESA) Gaia Satellite,,,587.0,66.02733721470987,6356.56814,,20.0,,2506.0,,,,,100.862,missing,,
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1.0,Imaging,2004.0,Paranal Observatory,M8,175.07372177353523,50.5,32.340077743902185,1430.075,,4.5,,1200.0,2825.0,0.21887,0.024,5.03186,64.308,observed,0.0027373865839048065,0.021803936862632
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2.0,Eclipse Timing Variations,2015.0,Kepler,sdB,411.0,0.92,21.30089853354015,597.51891851,,1.88,0.33,563.110019661188,29564.0,0.203,0.48,5.508,396.332,observed,28.24455262693379,0.7224398420394743
2MASS J21252752-8138278 b,2MASS J21252752-8138278,1.0,Imaging,2024.0,European Space Agency (ESA) Gaia Satellite,,,7493.0,51.71018078019414,3813.940884,,12.0,,1616.0,,,,,34.1154,missing,,
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1.0,Imaging,2016.0,W. M. Keck Observatory,K7 V,272.69515334423807,230.0,52.73024160096342,3972.875,,12.5,,,4045.0,,0.6,,69.5737,observed,,0.05108421113054506
2MASS J22501512+2325342 b,2MASS J22501512+2325342,1.0,Imaging,2018.0,The 2 (Two) Micron All Sky Survey (2MASS),M3,,518.0,80.16374061150262,9534.85221,,30.0,,1600.0,,,,,57.2309,missing,,
4 UMa b,4 UMa,1.0,Radial Velocity,2006.0,Thueringer Landessternwarte Tautenburg,K1 III,269.785,0.8734999999999999,41.2985816704767,2383.990036055,,7.500999999999999,0.4425,815.1441845394725,4415.0,18.11,1.234,1.8,73.4603,observed,111.80200248083227,1.188778957783668
47 UMa b,47 UMa,1.0,Radial Velocity,1996.0,Lick Observatory,G0 V,1083.04,2.0958,24.67114714151889,812.2238312540001,,2.5556,0.032,177.94438105010727,5861.053333333333,1.1749385,1.0615,4.3115845,13.796699999999998,observed,1.461580744934742,0.7118034116317747
47 UMa c,47 UMa,1.0,Radial Velocity,2001.0,Lick Observatory,G1 V,2391.0,3.6,11.726609241760425,171.621,,0.54,0.094,135.5286759056163,5850.58,1.1749385,1.032596,4.3115845,13.7967,observed,1.4511617026988388,0.5356596741445349
47 UMa d,47 UMa,1.0,Radial Velocity,2009.0,Lick Observatory,GV,14002.0,12.7,19.57087064581732,500.570447285,,1.575,0.16,72.15735166643725,5850.58,1.1749385,1.032596,4.3115845,13.7967,observed,1.4511617026988388,0.2851926592103205
51 Eri b,51 Eri,3.0,Imaging,2015.0,Gemini Observatory,F0 IV,9100.0,10.4,49.38530129518748,3464.3296363,,10.9,0.57,700.0,7295.0,1.48726,1.75,4.31078,29.7575,observed,5.620369007724939,0.41027715817760846
51 Peg b,51 Peg,1.0,Radial Velocity,1995.0,Haute-Provence Observatory,GV,4.23053038,0.0522624999999999,10.937244742029726,148.36025617,,0.4668,0.013,1111.10806802491,5763.920000000001,1.181177,1.035,4.315911,15.4614,observed,1.3816294796297734,4.450922871380835
55 Cnc B b,55 Cnc B,2.0,Radial Velocity,2025.0,Mauna Kea Observatory,M4.5 V,6.7994,0.044,1.8210406418080138,3.5,,0.01101223,0.0,332.5006191772043,3286.0,0.274,0.26,4.86,12.4773,observed,0.007853463181128433,2.4312819156154006
55 Cnc B c,55 Cnc B,2.0,Radial Velocity,2025.0,Mauna Kea Observatory,M4.5 V,33.747,0.13,2.2209740194374006,5.3,,0.01667566,0.0,193.4403727875032,3286.0,0.274,0.26,4.86,12.4773,observed,0.007853463181128433,1.414457757317769
55 Cnc b,55 Cnc,2.0,Radial Velocity,1996.0,Lick Observatory,G8 V,14.648188499999998,0.1143397884615384,14.41189295912943,264.0747930992308,,0.8308917776923077,0.0029,700.0,5235.98625,0.9630672857142856,0.93,4.423311375000001,12.585499999999998,observed,0.6254564864183897,2.8524481974704403
55 Cnc c,55 Cnc,2.0,Radial Velocity,2004.0,McDonald Observatory,G8 V,44.33322222222222,0.2401362222222222,6.841694652761471,55.65345195555556,,0.17510928,0.1007777777777777,425.5985401497095,5241.127142857143,0.9630672857142856,0.9275,4.412355857142857,12.5855,observed,0.6279164954729991,1.9656360387292846
55 Cnc d,55 Cnc,2.0,Radial Velocity,2002.0,Lick Observatory,G8 V,4982.236363636363,5.596636363636363,29.064586499499185,1144.0132926145454,,3.5995454545454546,0.0913,88.15874959324842,5241.127142857143,0.9630672857142858,0.9300000000000002,4.412355857142858,12.585499999999998,observed,0.6279164954729993,0.4077114548065732
55 Cnc e,55 Cnc,2.0,Radial Velocity,2004.0,McDonald Observatory,G8 V,0.7365474,0.01544,1.962,8.286054462307693,0.1750057444444444,0.0273882214285714,0.05,1958.0,5238.453076923077,0.9602778888888888,0.9140769230769228,4.428805916666668,12.5855,observed,0.6230113237955973,7.695603941306263
55 Cnc f,55 Cnc,2.0,Radial Velocity,2007.0,Multiple Observatories,G8 V,260.78125,0.7815125,6.34419149529778,47.52984875375,,0.1495372587499999,0.063,235.91795896227322,5241.127142857143,0.9630672857142858,0.9242857142857144,4.412355857142857,12.5855,observed,0.6279164954729993,1.0877025330275674
6 Lyn b,6 Lyn,1.0,Radial Velocity,2008.0,Okayama Astrophysical Observatory,K0 IV,906.9835,2.1295,22.58802883656603,675.4694583925,,2.12525,0.042,311.82952021874524,4952.333333333333,5.135000000000001,1.4866666666666666,3.17,54.6599,observed,14.230174324708484,0.8356856866385235
61 Vir b,61 Vir,1.0,Radial Velocity,2009.0,Multiple Observatories,G5 V,4.2149350000000005,0.0498805,2.1822129172373885,5.108518675,,0.01605,0.1095,1012.1775794687995,5581.285,0.997755,0.928036,4.3543875,8.50332,observed,0.8667113309313819,4.314117770301133
61 Vir c,61 Vir,1.0,Radial Velocity,2009.0,Multiple Observatories,G5 V,38.05835,0.2163,3.896199539507749,17.156950115,,0.05385,0.14,486.0644431418141,5581.285,0.997755,0.928036,4.3543875,8.50332,observed,0.8667113309313819,2.0717108284201657
61 Vir d,61 Vir,1.0,Radial Velocity,2009.0,Multiple Observatories,G5 V,123.01,0.476,4.473412910040556,22.9,,0.072,0.35,321.65200863494516,5577.0,0.963,0.942,4.34,8.50332,observed,0.8049056986863508,1.4070092708034252
7 CMa b,7 CMa,1.0,Radial Velocity,2011.0,Anglo-Australian Telescope,K1 III,764.6999999999999,1.847,21.13760594061653,587.9855,,1.85,0.06,320.2614751752998,4804.173333333333,4.992143333333334,1.3895,3.2016666666666667,19.8101,observed,11.910736458821981,0.8675026533812114
7 CMa c,7 CMa,1.0,Radial Velocity,2019.0,Multiple Observatories,KIV,996.0,2.1790000000000003,14.902351316515304,283.20605,,0.891,0.08,297.4344468578362,4826.0,5.034000000000001,1.3895,3.1775,19.8101,observed,12.33290944500349,0.7986852139419387
70 Vir b,70 Vir,1.0,Radial Velocity,1996.0,Lick Observatory,GV,116.68995833333332,0.4764166666666666,40.72806622792604,2315.677210435,,7.286,0.3990666666666667,445.9383303831068,5498.372,1.9059715,1.096666666666667,3.9562938,17.9011,observed,2.9789220002520516,1.5174655225661455
