planet_name,star_number_per_system,spectral_type,orbital_period_day,orbit_semi_major_axis_au,planet_rad_earth_rad,planet_mass_earth_mass,planet_equil_temp_k,stellar_effective_temp_k,stellar_rad_solar_rad,stellar_mass_solar_mass,stellar_surf_grav,stellar_luminosity_solar_lum,planet_orbital_velocity,habitable_zone_main_seq
11 Com b,2.0,GIII,324.62,1.226,61.63658057189193,5505.06616195,653.1371652238513,4808.0,13.76,2.09,2.38,90.77882429200622,1.3058788615447476,0
11 UMi b,1.0,KIII,516.219985,1.5266666666666666,57.0574212386774,4684.8142,728.3679219366965,4276.5,26.935,2.78,1.765,217.70966783694135,1.3496627765760878,0
14 And b,1.0,KIII,186.3,0.7616666666666667,30.026229664042432,1224.5504335033334,756.7253196096369,4850.5,11.275,1.78,2.59,63.13482583523821,1.5289824844287172,0
14 Her b,1.0,KV,1766.3784171428572,2.81475,42.72617118626999,2559.47216157,127.96343687301616,5296.985,0.9990845,0.904,4.418005750000001,0.7050327074068489,0.5668123252086852,0
16 Cyg B b,3.0,GV,799.375,1.6628333333333334,20.176910388854697,533.5145281766665,191.413504108464,5728.594,1.129135,1.0165992,4.342293199999999,1.2318952031907586,0.7820337656333902,0
17 Sco b,1.0,KIII,578.38,1.45,31.71616013226107,1373.01871824,712.6716420314522,4157.0,25.92,1.22,1.7,180.0030825234718,0.9174256921198172,0
18 Del b,2.0,GIII,988.075,2.5386666666666664,46.89336749914425,3109.015381083333,372.7064479137509,4979.5,8.65,2.1,2.8440000000000003,41.272902518199366,0.9096656404644132,0
1RXS J160929.1-210524 b,1.0,KV,348.3701733527401,330.0,18.647,3135.75,1750.0,4043.25,1.33258,0.85,3.99592,0.4257932894345991,0.0507606853231035,0
24 Boo b,1.0,GIV,30.3403,0.192,14.945784392043931,284.93389169,1517.776432934424,4854.5,11.415,1.02,2.35,64.92615785360877,2.305284103390886,0
24 Sex b,1.0,KIV,452.8,1.333,21.888056823890317,632.46,396.3316474627488,5098.0,4.9,1.54,3.5,14.550614492288496,1.075029222154519,0
24 Sex c,1.0,KIV,883.0,2.08,14.651142385611704,273.32,317.2796076249495,5098.0,4.9,1.54,3.5,14.550614492288496,0.8606046273975612,0
2M0437 b,1.0,MV,213.0095297054172,118.0,30.56950274566069,1271.313628,1450.0,3100.0,0.84,0.17,4.5,0.0584648981475414,0.0379628178388211,0
